source,target
проблема,нога
проблему,ногу
подобная,нужная
подобный,нужный
стран,мыслей
страной,мыслью
части,организации
частью,организацией
последний,политический
последняя,политическая
данные,утро
данными,утром
необходимая,важная
необходимый,важный
ролей,недель
ролью,неделей
рубль,рынок
рубля,рынка
разговор,процесс
разговора,процесса
квартира,ситуация
квартиру,ситуацию
значение,образование
значения,образования
новая,внутренняя
новый,внутренний
предприятие,сообщение
предприятия,сообщения
местная,маленькая
местный,маленький
различное,обычное
различный,обычный
центр,доллар
центра,доллара
похожая,великая
похожий,великий
управлению,солнцу
управления,солнца
международная,личная
международный,личный
сильная,способная
сильный,способный
граница,картина
границу,картину
работа,половина
работу,половину
культура,гора
культуру,гору
экономическая,широкая
экономический,широкий
войско,чувство
возраст,палец
возраста,пальца
счастью,знанию
счастья,знания
фирма,страница
фирму,страницу
звук,бизнес
звука,бизнеса
рассказ,способ
рассказа,способа
база,судьба
базу,судьбу
конкретная,собственная
конкретный,собственный
май,совет
мая,совета
открытая,долгая
открытый,долгий
успех,договор
успеха,договора
скорости,боли
скорость,боль
помощи,способности
помощь,способность
факт,январь
факта,января
фильм,регион
фильма,региона
линию,победу
линия,победа
списка,августа
список,август
современная,соответствующая
современный,соответствующий
роман,сентябрь
романа,сентября
источник,университет
источника,университета
правильная,глубокая
правильный,глубокий
период,автомобиль
периода,автомобиля
высшая,финансовая
высший,финансовый
проект,запад
проекта,запада
равное,дополнительное
равный,дополнительный
услуга,федерация
услугу,федерацию
очереди,болезни
очередь,болезнь
социальная,значительная
социальный,значительный
искусства,явления
искусство,явление
высокая,информационная
высокий,информационный
текст,форум
текста,форума
физическая,нынешняя
физический,нынешний
традицию,функцию
традиция,функция
разная,естественная
разный,естественный
научная,массовая
научный,массовый
смысл,карман
смысла,кармана
природа,сотня
природу,сотню
странная,яркая
странный,яркий
сложная,официальная
сложный,официальный
духовная,мелкая
духовный,мелкий
сожаление,применение
сожалению,применению
игра,планета
игру,планету
течение,поколение
течения,поколения
взгляд,организм
взгляда,организма
зависимости,особенности
зависимость,особенность
лучшая,сегодняшняя
лучший,сегодняшний
создание,помещение
создания,помещения
опасная,верная
опасный,верный
адрес,лагерь
адреса,лагеря
славой,реальностью
огромная,традиционная
огромный,традиционный
жизней,зон
жизнью,зоной
позднее,бедное
поздний,бедный
апрель,бюджет
апреля,бюджета
вариант,этаж
варианта,этажа
личности,лошади
личность,лошадь
коридор,перевод
коридора,перевода
схема,администрация
схему,администрацию
попытка,красота
попытку,красоту
европейская,восточная
европейский,восточный
нормальная,знаменитая
нормальный,знаменитый
радости,фамилии
радостью,фамилией
кресле,издании
кресло,издание
умная,медицинская
умный,медицинский
ясное,железное
ясный,железный
известная,культурная
известный,культурный
музей,конфликт
музея,конфликта
предыдущая,техническая
предыдущий,технический
народное,раннее
народный,ранний
улыбка,камера
улыбку,камеру
событие,преступление
события,преступления
территорию,эпоху
территория,эпоха
творческий,здоровый
творческое,здоровое
пример,недостаток
примера,недостатка
человеческая,эффективная
человеческий,эффективный
правительства,изучения
правительство,изучение
риск,отряд
риска,отряда
очередная,южная
очередное,южное
высота,водка
высоту,водку
середина,беседа
середину,беседу
контакт,километр
контакта,километра
комментарий,ресурс
комментария,ресурса
руководства,мероприятия
руководство,мероприятие
профессиональная,связанная
профессиональный,связанный
подготовка,реформа
подготовку,реформу
историей,обязанностью
истории,обязанности
бывшая,отечественная
бывший,отечественный
обстоятельства,оборудования
обстоятельство,оборудование
перед,диск
волю,шею
воля,шея
командой,действительностью
наличие,чтение
наличия,чтения
желание,убийство
желания,убийства
крупное,религиозное
крупный,религиозный
достоинства,заявления
достоинство,заявление
родина,серия
родину,серию
торговая,верхняя
торговый,верхний
чужая,узкая
чужое,узкое
идею,зарплату
идея,зарплата
пользователь,зритель
пользователя,зрителя
хозяйство,законодательство
хозяйству,законодательству
защита,логика
защиту,логику
предмет,флот
предмета,флота
