source,target
интерес,месяц
интереса,месяца
современная,подобная
современный,подобный
различное,великое
различный,великий
центр,период
центра,периода
направление,утро
направления,утра
количества,использования
количество,использование
социальная,обычная
социальный,обычный
огромная,реальная
огромный,реальный
участие,событие
участия,события
природа,неделя
природу,неделю
компанию,музыку
компания,музыка
характер,разговор
характера,разговора
документ,институт
документа,института
точка,территория
точку,территорию
сторона,операция
сторону,операцию
ситуацию,оценку
ситуация,оценка
научная,необходимая
научный,необходимый
детский,нормальный
детское,нормальное
средний,широкий
средняя,широкая
сложная,международная
сложный,международный
странная,экономическая
странный,экономический
ума,возраста
умом,возрастом
поведение,желание
поведения,желания
страшная,маленькая
страшный,маленький
проект,анализ
проекта,анализа
песню,надежду
песня,надежда
удар,комментарий
удара,комментария
попытка,база
попытку,базу
необходимость,мысль
необходимостью,мыслью
республика,нога
республику,ногу
здание,мнение
здания,мнения
скоростей,технологий
скоростью,технологией
списка,успеха
список,успех
организацию,функцию
организация,функция
чужая,близкая
чужое,близкое
влияние,войско
контроль,апрель
контроля,апреля
стран,радостей
страной,радостью
правильная,особая
правильный,особый
личности,дочери
личность,дочь
важная,городская
важное,городское
журнал,сентябрь
журнала,сентября
компьютер,университет
компьютера,университета
человеческая,глубокая
человеческий,глубокий
причина,деревня
причину,деревню
известная,профессиональная
известный,профессиональный
большая,федеральная
больший,федеральный
позицию,федерацию
позиция,федерация
мировая,значительная
мировое,значительное
явление,средство
явления,средства
соответствующая,информационная
соответствующий,информационный
северная,историческая
северный,исторический
вывод,форум
вывода,форума
иностранные,нынешние
иностранный,нынешний
нужная,естественная
нужный,естественный
западная,массовая
западный,массовый
внутренний,дальнейший
внутренняя,дальнейшая
сомнение,письмо
сомнения,письма
фирма,сотня
фирму,сотню
строительства,образования
строительство,образование
последний,официальный
последняя,официальная
условие,поколение
условия,поколения
умная,центральная
умный,центральный
корабль,организм
корабля,организма
усилие,заявление
усилия,заявления
музей,перевод
музея,перевода
собрание,применение
собранию,применению
основная,сегодняшняя
основное,сегодняшнее
собственная,активная
собственный,активный
действие,помещение
действия,помещения
женская,электронная
женский,электронный
машиной,реальностью
степени,кровати
степень,кровать
январь,комплекс
января,комплекса
старшая,бедная
старший,бедный
май,бюджет
мая,бюджета
замечательная,опасная
замечательный,опасный
бизнес,приказ
бизнеса,приказа
бутылка,категория
бутылку,категорию
реализацию,администрацию
реализация,администрация
генералом,риском
генералу,риску
матерью,лошадью
мать,лошадь
момент,конкурс
момента,конкурса
внешний,точный
внешняя,точная
состав,налог
состава,налога
интернет,конфликт
интернета,конфликта
настоящие,ранние
настоящий,ранний
гора,эпоха
гору,эпоху
больница,истина
больницу,истину
литературная,железная
литературный,железный
трудная,учебная
трудный,учебный
единая,материальная
единый,материальный
преступление,воспоминание
преступления,воспоминания
смысл,недостаток
смысла,недостатка
следующая,мощная
следующий,мощный
свободная,эффективная
свободный,эффективный
нижний,традиционный
нижняя,традиционная
гражданская,южная
гражданский,южный
команда,водка
команду,водку
невозможное,мягкое
невозможный,мягкий
впечатление,мероприятие
впечатлением,мероприятием
сфера,реформа
сферу,реформу
понимание,задание
понимания,задания
свежая,слабая
свежий,слабый
линией,обязанностью
линии,обязанности
принцип,расход
принципа,расхода
совет,диск
совета,диска
километр,шанс
километра,шанса
потребность,действительность
потребностью,действительностью
здоровью,убийству
здоровья,убийства
интересное,религиозное
интересный,религиозный
акцию,стратегию
акция,стратегия
общение,достоинство
общения,достоинства
правительства,выступления
правительство,выступление
духовная,узкая
духовный,узкий
финансовая,острая
финансовый,острый
лучшая,удивительная
лучший,удивительный
судей,зрителей
судья,зритель
вариант,ресторан
варианта,ресторана
ощущение,законодательство
ощущению,законодательству
публикацией,поверхностью
публикации,поверхности
продажа,логика
продажу,логику
постоянная,обратная
постоянный,обратный
столица,мечта
столицу,мечту
процедура,религия
процедуру,религию
торговая,толстая
торговый,толстый
соседнее,ценное
соседний,ценный
горячее,достойное
горячий,достойный
этаж,кризис
этажа,кризиса
озеро,настроение
озеру,настроению
целая,дикая
целый,дикий
предыдущая,круглая
предыдущий,круглый
граница,характеристика
границу,характеристику
спокойная,индивидуальная
спокойный,индивидуальный
перед,минимум
огня,эксперимента
огонь,эксперимент
слава,пища
славе,пище
милицию,покупку
милиция,покупка
конечная,генеральная
конечный,генеральный
система,погода
систему,погоду
тенденцию,зарплату
тенденция,зарплата
инструмент,символ
инструмента,символа
камень,статус
камня,статуса
планета,тюрьма
планету,тюрьму
небольшая,психологическая
