source,target
организацию,проблему
организация,проблема
великая,нужная
великий,нужный
сообщение,чувство
сообщения,чувства
телефон,интерес
телефона,интереса
класс,бизнес
класса,бизнеса
огромная,близкая
огромный,близкий
рост,смысл
росту,смыслу
похожая,необходимая
похожий,необходимый
предмет,разговор
предмета,разговора
ног,степеней
ногой,степенью
территорию,армию
территория,армия
институт,успех
института,успеха
лучшая,способная
лучший,способный
судьба,фирма
судьбу,фирму
картина,неделя
картину,неделю
тема,половина
тему,половину
научная,известная
научный,известный
широкая,высокая
широкий,высокий
счастья,письма
страшная,нормальная
страшный,нормальный
равное,единое
равный,единый
попытка,граница
попытку,границу
событие,здание
события,здания
поиск,май
поиска,мая
открытая,реальная
открытый,реальный
списка,анализа
список,анализ
теорию,функцию
теория,функция
удовольствие,тело
удовольствия,тела
чужая,международная
чужое,международное
радости,вести
старшая,красивая
старший,красивый
боевая,экономическая
боевое,экономическое
здоровью,использованию
здоровья,использования
сайт,километр
сайта,километра
собак,личностей
собакой,личностью
банк,регион
банка,региона
секунда,победа
секунду,победу
создание,множество
создания,множества
качество,ухо
качеством,ухом
утра,занятия
утро,занятие
основная,соответствующая
основное,соответствующее
удар,сентябрь
удара,сентября
состав,университет
состава,университета
внутренний,глубокий
внутренняя,глубокая
принцип,автомобиль
принципа,автомобиля
игра,деревня
игру,деревню
ответ,фонд
ответа,фонда
обстоятельства,солнца
обстоятельством,солнцем
последний,федеральный
последняя,федеральная
связи,федерации
связью,федерацией
рождение,отсутствие
рождения,отсутствия
внешний,значительный
внешняя,значительная
позицию,рекламу
позиция,реклама
желание,усилие
желания,усилия
комиссию,традицию
комиссия,традиция
конкретная,массовая
конкретный,массовый
понятное,женское
понятный,женский
карта,сотня
карту,сотню
большая,мелкая
больший,мелкий
средство,применение
средству,применению
правительства,настроения
правительство,настроение
технологию,планету
технология,планета
сравнение,поколение
сравнения,поколения
знак,организм
знака,организма
образование,достижение
образования,достижения
бутылка,реакция
бутылку,реакцию
собственная,прежняя
собственный,прежний
договор,музей
договора,музея
улыбка,сфера
улыбку,сферу
высшая,сегодняшняя
высший,сегодняшний
политическая,активная
политический,активный
искусства,помещения
искусство,помещение
приятная,опасная
приятный,опасный
электронная,дополнительная
электронный,дополнительный
материал,комитет
материала,комитета
вариант,экран
варианта,экрана
полезная,традиционная
полезный,традиционный
доллар,комплекс
доллара,комплекса
звук,бюджет
звука,бюджета
музыкой,потребностью
документ,храм
документа,храма
разная,горячая
разный,горячий
ноябрь,капитал
ноября,капитала
июль,конкурс
июля,конкурса
подобная,точная
подобный,точный
риск,аппарат
риска,аппарата
маленькая,восточная
маленький,восточный
медицинская,северная
медицинский,северный
компанию,эпоху
компания,эпоха
точка,перспектива
точку,перспективу
обычная,эффективная
обычный,эффективный
линию,водку
линия,водка
повышение,заявление
повышению,заявлению
истинная,официальная
истинный,официальный
предложение,мероприятие
предложению,мероприятию
сомнение,обсуждение
сомнения,обсуждения
связанная,южная
связанный,южный
база,реформа
базу,реформу
сожаление,задание
сожаления,задания
древний,свежий
древняя,свежая
помощи,обязанности
помощь,обязанность
боль,действительность
болью,действительностью
войско,чтение
торговлю,лестницу
торговля,лестница
лодка,беседа
лодку,беседу
оборудование,давление
оборудования,давления
мягкий,жизненный
мягкое,жизненное
тихая,ценная
тихий,ценный
ближайшее,острое
ближайший,острый
зона,поездка
зону,поездку
вход,разум
входа,разума
современная,удивительная
современный,удивительный
вывод,танк
вывода,танка
категорию,зарплату
категория,зарплата
зритель,брат
зрителя,брата
